,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone,Survived
52,1,1,49,76.7292,1,3,0,1
53,2,1,29,26.0,0,3,0,1
54,1,0,65,61.9792,1,1,0,0
55,1,0,40,35.5,0,1,1,1
56,2,1,21,10.5,0,2,1,1
57,3,0,28,7.2292,1,1,1,0
58,2,1,5,27.75,0,2,0,1
59,3,0,11,46.9,0,4,0,0
60,3,0,22,7.2292,1,1,1,0
61,1,1,38,80.0,0,2,1,1
62,1,0,45,83.475,0,1,0,0
63,3,0,4,27.9,0,4,0,0
64,1,0,40,27.7208,1,1,1,0
65,3,0,25,15.2458,1,4,0,1
66,2,1,29,10.5,0,3,1,1
67,3,0,19,8.1583,0,1,1,0
68,3,1,17,7.925,0,2,0,1
69,3,0,26,8.6625,0,1,0,0
70,2,0,32,10.5,0,1,1,0
71,3,1,16,46.9,0,2,0,0
72,2,0,21,73.5,0,1,1,0
73,3,0,26,14.4542,1,1,0,0
74,3,0,32,56.4958,0,1,1,1
75,3,0,25,7.65,0,1,1,0
76,3,0,25,7.8958,0,1,1,0
77,3,0,25,8.05,0,1,1,0
78,2,0,0,29.0,0,4,0,1
79,3,1,30,12.475,0,2,1,1
80,3,0,22,9.0,0,1,1,0
81,3,0,29,9.5,0,1,1,1
82,3,1,21,7.7875,2,2,1,1
83,1,0,28,47.1,0,1,1,0
84,2,1,17,10.5,0,2,1,1
85,3,1,33,15.85,0,3,0,1
86,3,0,16,34.375,0,1,0,0
87,3,0,25,8.05,0,1,1,0
88,1,1,23,263.0,0,2,0,1
89,3,0,24,8.05,0,1,1,0
90,3,0,29,8.05,0,1,1,0
91,3,0,20,7.8542,0,1,1,0
92,1,0,46,61.175,0,1,0,0
93,3,0,26,20.575,0,1,0,0
94,3,0,59,7.25,0,1,1,0
95,3,0,25,8.05,0,1,1,0
96,1,0,71,34.6542,1,1,1,0
97,1,0,23,63.3583,1,1,0,1
98,2,1,34,23.0,0,3,0,1
99,2,0,34,26.0,0,1,0,0
100,3,1,28,7.8958,0,2,1,0
101,3,0,25,7.8958,0,1,1,0
102,1,0,21,77.2875,0,1,0,0
103,3,0,33,8.6542,0,1,1,0
104,3,0,37,7.925,0,1,0,0
105,3,0,28,7.8958,0,1,1,0
106,3,1,21,7.65,0,2,1,1
107,3,0,25,7.775,0,1,1,1
108,3,0,38,7.8958,0,1,1,0
109,3,1,21,24.15,2,2,0,1
110,1,0,47,52.0,0,1,1,0
111,3,1,14,14.4542,1,2,0,0
112,3,0,22,8.05,0,1,1,0
113,3,1,20,9.825,0,2,0,0
114,3,1,17,14.4583,1,2,1,0
115,3,0,21,7.925,0,1,1,0
116,3,0,70,7.75,2,1,1,0
117,2,0,29,21.0,0,1,0,0
118,1,0,24,247.5208,1,1,0,0
119,3,1,2,31.275,0,2,0,0
120,2,0,21,73.5,0,1,0,0
121,3,0,25,8.05,0,1,1,0
122,2,0,32,30.0708,1,1,0,0
123,2,1,32,13.0,0,2,1,1
124,1,0,54,77.2875,0,1,0,0
125,3,0,12,11.2417,1,4,0,1
126,3,0,25,7.75,2,1,1,0
127,3,0,24,7.1417,0,1,1,1
128,3,1,21,22.3583,1,2,0,1
129,3,0,45,6.975,0,1,1,0
130,3,0,33,7.8958,1,1,1,0
131,3,0,20,7.05,0,1,1,0
132,3,1,47,14.5,0,3,0,0
133,2,1,29,26.0,0,3,0,1
134,2,0,25,13.0,0,1,1,0
135,2,0,23,15.0458,1,1,1,0
136,1,1,19,26.2833,0,2,0,1
137,1,0,37,53.1,0,1,0,0
138,3,0,16,9.2167,0,1,1,0
139,1,0,24,79.2,1,1,1,0
140,3,1,21,15.2458,1,3,0,0
141,3,1,22,7.75,0,2,1,1
142,3,1,24,15.85,0,3,0,1
143,3,0,19,6.75,2,1,1,0
144,2,0,18,11.5,0,1,1,0
145,2,0,19,36.75,0,1,0,0
146,3,0,27,7.7958,0,1,1,1
147,3,1,9,34.375,0,2,0,0
148,2,0,36,26.0,0,1,0,0
149,2,0,42,13.0,0,5,1,0
150,2,0,51,12.525,0,5,1,0
151,1,1,22,66.6,0,3,0,1
152,3,0,55,8.05,0,1,1,0
153,3,0,40,14.5,0,1,0,0
154,3,0,25,7.3125,0,1,1,0
155,1,0,51,61.3792,1,1,0,0
156,3,1,16,7.7333,2,2,1,1
157,3,0,30,8.05,0,1,1,0
158,3,0,25,8.6625,0,1,1,0
159,3,0,25,69.55,0,4,0,0
160,3,0,44,16.1,0,1,0,0
161,2,1,40,15.75,0,3,1,1
162,3,0,26,7.775,0,1,1,0
163,3,0,17,8.6625,0,1,1,0
164,3,0,1,39.6875,0,4,0,0
165,3,0,9,20.525,0,4,0,1
166,1,1,35,55.0,0,3,0,1
167,3,1,45,27.9,0,3,0,0
168,1,0,40,25.925,0,1,1,0
169,3,0,28,56.4958,0,1,1,0
170,1,0,61,33.5,0,1,1,0
171,3,0,4,29.125,2,4,0,0
172,3,1,1,11.1333,0,2,0,1
173,3,0,21,7.925,0,1,1,0
174,1,0,56,30.6958,1,1,1,0
175,3,0,18,7.8542,0,1,0,0
176,3,0,25,25.4667,0,4,0,0
177,1,1,50,28.7125,1,2,1,0
178,2,0,30,13.0,0,1,1,0
179,3,0,36,0.0,0,1,1,0
180,3,1,21,69.55,0,2,0,0
181,2,0,30,15.05,1,1,1,0
182,3,0,9,31.3875,0,4,0,0
183,2,0,1,39.0,0,4,0,1
184,3,1,4,22.025,0,2,0,1
185,1,0,40,50.0,0,1,1,0
186,3,1,21,15.5,2,3,0,1
187,1,0,45,26.55,0,1,1,1
188,3,0,40,15.5,2,1,0,0
189,3,0,36,7.8958,0,1,1,0
190,2,1,32,13.0,0,3,1,1
191,2,0,19,13.0,0,1,1,0
192,3,1,19,7.8542,0,2,0,1
193,2,0,3,26.0,0,4,0,1
194,1,1,44,27.7208,1,3,1,1
195,1,1,58,146.5208,1,2,1,1
196,3,0,25,7.75,2,1,1,0
197,3,0,42,8.4042,0,1,0,0
198,3,1,21,7.75,2,2,1,1
199,2,1,24,13.0,0,2,1,0
200,3,0,28,9.5,0,1,1,0
201,3,0,25,69.55,0,1,0,0
202,3,0,34,6.4958,0,1,1,0
203,3,0,45,7.225,1,1,1,0
204,3,0,18,8.05,0,1,1,1
205,3,1,2,10.4625,0,2,0,0
206,3,0,32,15.85,0,1,0,0
207,3,0,26,18.7875,1,1,1,1
208,3,1,16,7.75,2,2,1,1
209,1,0,40,31.0,1,1,1,1
210,3,0,24,7.05,0,1,1,0
211,2,1,35,21.0,0,2,1,1
212,3,0,22,7.25,0,1,1,0
213,2,0,30,13.0,0,1,1,0
214,3,0,25,7.75,2,1,0,0
215,1,1,31,113.275,1,2,0,1
216,3,1,27,7.925,0,2,1,1
217,2,0,42,27.0,0,1,0,0
218,1,1,32,76.2917,1,2,1,1
219,2,0,30,10.5,0,1,1,0
220,3,0,16,8.05,0,1,1,1
221,2,0,27,13.0,0,1,1,0
222,3,0,51,8.05,0,1,1,0
223,3,0,25,7.8958,0,1,1,0
224,1,0,38,90.0,0,1,0,1
225,3,0,22,9.35,0,1,1,0
226,2,0,19,10.5,0,1,1,1
227,3,0,20,7.25,0,1,1,0
228,2,0,18,13.0,0,1,1,0
229,3,1,21,25.4667,0,2,0,0
230,1,1,35,83.475,0,3,0,1
231,3,0,29,7.775,0,1,1,0
232,2,0,59,13.5,0,1,1,0
233,3,1,5,31.3875,0,2,0,1
234,2,0,24,10.5,0,1,1,0
235,3,1,21,7.55,0,2,1,0
236,2,0,44,26.0,0,1,0,0
237,2,1,8,26.25,0,2,0,1
238,2,0,19,10.5,0,1,1,0
239,2,0,33,12.275,0,1,1,0
240,3,1,21,14.4542,1,2,0,0
241,3,1,21,15.5,2,2,0,1
242,2,0,29,10.5,0,1,1,0
243,3,0,22,7.125,0,1,1,0
244,3,0,30,7.225,1,1,1,0
245,1,0,44,90.0,2,5,0,0
246,3,1,25,7.775,0,2,1,0
247,2,1,24,14.5,0,3,0,1
248,1,0,37,52.5542,0,1,0,1
249,2,0,54,26.0,0,5,0,0
250,3,0,25,7.25,0,1,1,0
251,3,1,29,10.4625,0,3,0,0
252,1,0,62,26.55,0,1,1,0
253,3,0,30,16.1,0,1,0,0
254,3,1,41,20.2125,0,3,0,0
255,3,1,29,15.2458,1,3,0,1
256,1,1,35,79.2,1,3,1,1
257,1,1,30,86.5,0,2,1,1
258,1,1,35,512.3292,1,2,1,1
259,2,1,50,26.0,0,3,0,1
260,3,0,25,7.75,2,1,1,0
261,3,0,3,31.3875,0,4,0,1
262,1,0,52,79.65,0,1,0,0
263,1,0,40,0.0,0,1,1,0
264,3,1,21,7.75,2,2,1,0
265,2,0,36,10.5,0,1,1,0
266,3,0,16,39.6875,0,1,0,0
267,3,0,25,7.775,0,1,0,1
268,1,1,58,153.4625,0,3,0,1
269,1,1,35,135.6333,0,2,1,1
270,1,0,40,31.0,0,1,1,0
271,3,0,25,0.0,0,1,1,1
272,2,1,41,19.5,0,3,0,1
273,1,0,37,29.7,1,1,0,0
274,3,1,21,7.75,2,2,1,1
275,1,1,63,77.9583,0,2,0,1
276,3,1,45,7.75,0,2,1,0
277,2,0,30,0.0,0,1,1,0
278,3,0,7,29.125,2,4,0,0
279,3,1,35,20.25,0,3,0,1
280,3,0,65,7.75,2,1,1,0
281,3,0,28,7.8542,0,1,1,0
282,3,0,16,9.5,0,1,1,0
283,3,0,19,8.05,0,1,1,1
284,1,0,40,26.0,0,1,1,0
285,3,0,33,8.6625,1,1,1,0
286,3,0,30,9.5,0,1,1,1
287,3,0,22,7.8958,0,1,1,0
288,2,0,42,13.0,0,1,1,1
289,3,1,22,7.75,2,2,1,1
290,1,1,26,78.85,0,2,1,1
291,1,1,19,91.0792,1,3,0,1
292,2,0,36,12.875,1,1,1,0
293,3,1,24,8.85,0,2,1,0
294,3,0,24,7.8958,0,1,1,0
295,1,0,40,27.7208,1,1,1,0
296,3,0,23,7.2292,1,1,1,0
297,1,1,2,151.55,0,2,0,0
298,1,0,40,30.5,0,1,1,1
299,1,1,50,247.5208,1,3,0,1
300,3,1,21,7.75,2,2,1,1
301,3,0,25,23.25,2,1,0,1
302,3,0,19,0.0,0,1,1,0
303,2,1,28,12.35,2,2,1,1
304,3,0,25,8.05,0,1,1,0
305,1,0,0,151.55,0,4,0,1
306,1,1,35,110.8833,1,2,1,1
307,1,1,17,108.9,1,3,0,1
308,2,0,30,24.0,1,1,0,0
309,1,1,30,56.9292,1,2,1,1
310,1,1,24,83.1583,1,2,1,1
311,1,1,18,262.375,1,2,0,1
312,2,1,26,26.0,0,3,0,0
313,3,0,28,7.8958,0,1,1,0
314,2,0,43,26.25,0,1,0,0
315,3,1,26,7.8542,0,2,1,1
316,2,1,24,26.0,0,3,0,1
317,2,0,54,14.0,0,5,1,0
318,1,1,31,164.8667,0,2,0,1
319,1,1,40,134.5,1,3,0,1
320,3,0,22,7.25,0,1,1,0
321,3,0,27,7.8958,0,1,1,0
322,2,1,30,12.35,2,2,1,1
323,2,1,22,29.0,0,3,0,1
324,3,0,25,69.55,0,1,0,0
325,1,1,36,135.6333,1,2,1,1
326,3,0,61,6.2375,0,1,1,0
327,2,1,36,13.0,0,3,1,1
328,3,1,31,20.525,0,3,0,1
329,1,1,16,57.9792,1,2,0,1
330,3,1,21,23.25,2,2,0,1
331,1,0,45,28.5,0,1,1,0
332,1,0,38,153.4625,0,1,0,0
333,3,0,16,18.0,0,1,0,0
334,1,1,35,133.65,0,3,0,1
335,3,0,25,7.8958,0,1,1,0
336,1,0,29,66.6,0,1,0,0
337,1,1,41,134.5,1,2,1,1
338,3,0,45,8.05,0,1,1,1
339,1,0,45,35.5,0,1,1,0
340,2,0,2,26.0,0,4,0,1
341,1,1,24,263.0,0,2,0,1
342,2,0,28,13.0,0,1,1,0
343,2,0,25,13.0,0,1,1,0
344,2,0,36,13.0,0,1,1,0
345,2,1,24,13.0,0,2,1,1
346,2,1,40,13.0,0,2,1,1
347,3,1,21,16.1,0,3,0,1
348,3,0,3,15.9,0,4,0,1
349,3,0,42,8.6625,0,1,1,0
350,3,0,23,9.225,0,1,1,0
351,1,0,40,35.0,0,1,1,0
352,3,0,15,7.2292,1,1,0,0
353,3,0,25,17.8,0,1,0,0
354,3,0,25,7.225,1,1,1,0
355,3,0,28,9.5,0,1,1,0
356,1,1,22,55.0,0,2,0,1
357,2,1,38,13.0,0,2,1,0
358,3,1,21,7.8792,2,2,1,1
359,3,1,21,7.8792,2,2,1,1
360,3,0,40,27.9,0,1,0,0
361,2,0,29,27.7208,1,1,0,0
362,3,1,45,14.4542,1,3,0,0
363,3,0,35,7.05,0,1,1,0
364,3,0,25,15.5,2,1,0,0
365,3,0,30,7.25,0,1,1,0
366,1,1,60,75.25,1,3,0,1
367,3,1,21,7.2292,1,3,1,1
368,3,1,21,7.75,2,2,1,1
369,1,1,24,69.3,1,3,1,1
370,1,0,25,55.4417,1,1,0,1
371,3,0,18,6.4958,0,1,0,0
372,3,0,19,8.05,0,1,1,0
373,1,0,22,135.6333,1,1,1,0
374,3,1,3,21.075,0,2,0,0
375,1,1,35,82.1708,1,3,0,1
376,3,1,22,7.25,0,2,1,1
377,1,0,27,211.5,1,1,0,0
378,3,0,20,4.0125,1,1,1,0
379,3,0,19,7.775,0,1,1,0
380,1,1,42,227.525,1,2,1,1
381,3,1,1,15.7417,1,2,0,1
382,3,0,32,7.925,0,1,1,0
383,1,1,35,52.0,0,3,0,1
384,3,0,25,7.8958,0,1,1,0
385,2,0,18,73.5,0,1,1,0
386,3,0,1,46.9,0,4,0,0
387,2,1,36,13.0,0,2,1,1
388,3,0,25,7.7292,2,1,1,0
389,2,1,17,12.0,1,2,1,1
390,1,0,36,120.0,0,1,0,1
391,3,0,21,7.7958,0,1,1,1
392,3,0,28,7.925,0,1,0,0
393,1,1,23,113.275,1,2,0,1
394,3,1,24,16.7,0,3,0,1
395,3,0,22,7.7958,0,1,1,0
396,3,1,31,7.8542,0,2,1,0
397,2,0,46,26.0,0,1,1,0
398,2,0,23,10.5,0,5,1,0
399,2,1,28,12.65,0,3,1,1
400,3,0,39,7.925,0,1,1,1
401,3,0,26,8.05,0,1,1,0
402,3,1,21,9.825,0,2,0,0
403,3,0,28,15.85,0,1,0,0
404,3,1,20,8.6625,0,2,1,0
405,2,0,34,21.0,0,1,0,0
406,3,0,51,7.75,0,1,1,0
407,2,0,3,18.75,0,4,0,1
408,3,0,21,7.775,0,1,1,0
409,3,1,21,25.4667,0,2,0,0
410,3,0,25,7.8958,0,1,1,0
411,3,0,25,6.8583,2,1,1,0
412,1,1,33,90.0,2,2,0,1
413,2,0,30,0.0,0,1,1,0
414,3,0,44,7.925,0,1,1,1
415,3,1,21,8.05,0,3,1,0
416,2,1,34,32.5,0,3,0,1
417,2,1,18,13.0,0,2,0,1
418,2,0,30,13.0,0,1,1,0
419,3,1,10,24.15,0,2,0,0
420,3,0,25,7.8958,1,1,1,0
421,3,0,21,7.7333,2,1,1,0
422,3,0,29,7.875,0,1,1,0
423,3,1,28,14.4,0,3,0,0
424,3,0,18,20.2125,0,1,0,0
425,3,0,25,7.25,0,1,1,0
426,2,1,28,26.0,0,3,0,1
427,2,1,19,26.0,0,2,1,1
428,3,0,25,7.75,2,1,1,0
429,3,0,32,8.05,0,1,1,1
430,1,0,28,26.55,0,1,1,1
431,3,1,21,16.1,0,3,0,1
432,2,1,42,26.0,0,3,0,1
433,3,0,17,7.125,0,1,1,0
434,1,0,50,55.9,0,1,0,0
435,1,1,14,120.0,0,2,0,1
436,3,1,21,34.375,0,2,0,0
437,2,1,24,18.75,0,3,0,1
438,1,0,64,263.0,0,1,0,0
439,2,0,31,10.5,0,1,1,0
440,2,1,45,26.25,0,3,0,1
441,3,0,20,9.5,0,1,1,0
442,3,0,25,7.775,0,1,0,0
443,2,1,28,13.0,0,2,1,1
444,3,0,25,8.1125,0,1,1,1
445,1,0,4,81.8583,0,4,0,1
446,2,1,13,19.5,0,2,0,1
447,1,0,34,26.55,0,1,1,1
448,3,1,5,19.2583,1,2,0,1
449,1,0,52,30.5,0,5,1,1
450,2,0,36,27.75,0,1,0,0
451,3,0,25,19.9667,0,1,0,0
452,1,0,30,27.75,1,1,1,0
453,1,0,49,89.1042,1,1,0,1
454,3,0,25,8.05,0,1,1,0
455,3,0,29,7.8958,1,1,1,1
456,1,0,65,26.55,0,1,1,0
457,1,1,35,51.8625,0,3,0,1
458,2,1,50,10.5,0,2,1,1
459,3,0,25,7.75,2,1,1,0
460,1,0,48,26.55,0,1,1,1
461,3,0,34,8.05,0,1,1,0
462,1,0,47,38.5,0,1,1,0
463,2,0,48,13.0,0,1,1,0
464,3,0,25,8.05,0,1,1,0
465,3,0,38,7.05,0,1,1,0
466,2,0,30,0.0,0,1,1,0
467,1,0,56,26.55,0,1,1,0
468,3,0,25,7.725,2,1,1,0
469,3,1,0,19.2583,1,2,0,1
470,3,0,25,7.25,0,1,1,0
471,3,0,38,8.6625,0,1,1,0
472,2,1,33,27.75,0,3,0,1
473,2,1,23,13.7917,1,3,1,1
474,3,1,22,9.8375,0,2,1,0
475,1,0,40,52.0,0,1,1,0
476,2,0,34,21.0,0,1,0,0
477,3,0,29,7.0458,0,1,0,0
478,3,0,22,7.5208,0,1,1,0
479,3,1,2,12.2875,0,2,0,1
480,3,0,9,46.9,0,4,0,0
481,2,0,30,0.0,0,1,1,0
482,3,0,50,8.05,0,1,1,0
483,3,1,63,9.5875,0,3,1,1
484,1,0,25,91.0792,1,1,0,1
485,3,1,21,25.4667,0,2,0,0
486,1,1,35,90.0,0,3,0,1
487,1,0,58,29.7,1,1,1,0
488,3,0,30,8.05,0,1,1,0
489,3,0,9,15.9,0,4,0,1
490,3,0,25,19.9667,0,1,0,0
491,3,0,21,7.25,0,1,1,0
492,1,0,55,30.5,0,1,1,0
493,1,0,71,49.5042,1,1,1,0
494,3,0,21,8.05,0,1,1,0
495,3,0,25,14.4583,1,1,1,0
496,1,1,54,78.2667,1,2,0,1
497,3,0,25,15.1,0,1,1,0
498,1,1,25,151.55,0,3,0,0
499,3,0,24,7.7958,0,1,1,0
500,3,0,17,8.6625,0,1,1,0
501,3,1,21,7.75,2,2,1,0
502,3,1,21,7.6292,2,2,1,0
503,3,1,37,9.5875,0,2,1,0
504,1,1,16,86.5,0,2,1,1
505,1,0,18,108.9,1,1,0,0
506,2,1,33,26.0,0,3,0,1
507,1,0,40,26.55,0,1,1,1
508,3,0,28,22.525,0,1,1,0
509,3,0,26,56.4958,0,1,1,1
510,3,0,29,7.75,2,1,1,1
511,3,0,25,8.05,0,1,1,0
512,1,0,36,26.2875,0,1,1,1
513,1,1,54,59.4,1,3,0,1
514,3,0,24,7.4958,0,1,1,0
515,1,0,47,34.0208,0,1,1,0
516,2,1,34,10.5,0,3,1,1
517,3,0,25,24.15,2,1,1,0
518,2,1,36,26.0,0,3,0,1
519,3,0,32,7.8958,0,1,1,0
520,1,1,30,93.5,0,2,1,1
521,3,0,22,7.8958,0,1,1,0
522,3,0,25,7.225,1,1,1,0
523,1,1,44,57.9792,1,3,0,1
524,3,0,25,7.2292,1,1,1,0
525,3,0,40,7.75,2,1,1,0
526,2,1,50,10.5,0,2,1,1
527,1,0,40,221.7792,0,1,1,0
528,3,0,39,7.925,0,1,1,0
529,2,0,23,11.5,0,1,0,0
530,2,1,2,26.0,0,2,0,1
531,3,0,25,7.2292,1,1,1,0
532,3,0,17,7.2292,1,1,0,0
533,3,1,21,22.3583,1,3,0,1
534,3,1,30,8.6625,0,2,1,0
535,2,1,7,26.25,0,2,0,1
536,1,0,45,26.55,0,5,1,0
537,1,1,30,106.425,1,2,1,1
538,3,0,25,14.5,0,1,1,0
539,1,1,22,49.5,1,2,0,1
540,1,1,36,71.0,0,2,0,1
541,3,1,9,31.275,0,2,0,0
542,3,1,11,31.275,0,2,0,0
543,2,0,32,26.0,0,1,0,1
544,1,0,50,106.425,1,1,0,0
545,1,0,64,26.0,0,1,1,0
546,2,1,19,26.0,0,3,0,1
547,2,0,30,13.8625,1,1,1,1
548,3,0,33,20.525,0,1,0,0
549,2,0,8,36.75,0,4,0,1
550,1,0,17,110.8833,1,1,0,1
551,2,0,27,26.0,0,1,1,0
552,3,0,25,7.8292,2,1,1,0
553,3,0,22,7.225,1,1,1,1
554,3,1,22,7.775,0,2,1,1
555,1,0,62,26.55,0,1,1,0
556,1,1,48,39.6,1,5,0,1
557,1,0,40,227.525,1,1,1,0
558,1,1,39,79.65,0,3,0,1
559,3,1,36,17.4,0,3,0,1
560,3,0,25,7.75,2,1,1,0
561,3,0,40,7.8958,0,1,1,0
562,2,0,28,13.5,0,1,1,0
563,3,0,25,8.05,0,1,1,0
564,3,1,21,8.05,0,2,1,0
565,3,0,24,24.15,0,1,0,0
566,3,0,19,7.8958,0,1,1,0
567,3,1,29,21.075,0,3,0,0
568,3,0,25,7.2292,1,1,1,0
569,3,0,32,7.8542,0,1,1,1
570,2,0,62,10.5,0,1,1,1
571,1,1,53,51.4792,0,3,0,1
572,1,0,36,26.3875,0,1,1,1
573,3,1,21,7.75,2,2,1,1
574,3,0,16,8.05,0,1,1,0
575,3,0,19,14.5,0,1,1,0
576,2,1,34,13.0,0,2,1,1
577,1,1,39,55.9,0,3,0,1
578,3,1,21,14.4583,1,3,0,0
579,3,0,32,7.925,0,1,1,1
580,2,1,25,30.0,0,2,0,1
581,1,1,39,110.8833,1,3,0,1
582,2,0,54,26.0,0,1,1,0
583,1,0,36,40.125,1,1,1,0
584,3,0,25,8.7125,1,1,1,0
585,1,1,18,79.65,0,2,0,1
586,2,0,47,15.0,0,1,1,0
587,1,0,60,79.2,1,1,0,1
588,3,0,22,8.05,0,1,1,0
589,3,0,25,8.05,0,1,1,0
590,3,0,35,7.125,0,1,1,0
591,1,1,52,78.2667,1,3,0,1
592,3,0,47,7.25,0,1,1,0
593,3,1,21,7.75,2,2,0,0
594,2,0,37,26.0,0,1,0,0
595,3,0,36,24.15,0,1,0,0
596,2,1,28,33.0,0,2,1,1
597,3,0,49,0.0,0,1,1,0
598,3,0,25,7.225,1,1,1,0
599,1,0,49,56.9292,1,5,0,1
600,2,1,24,27.0,0,3,0,1
601,3,0,25,7.8958,0,1,1,0
602,1,0,40,42.4,0,1,1,0
603,3,0,44,8.05,0,1,1,0
604,1,0,35,26.55,1,1,1,1
605,3,0,36,15.55,0,1,0,0
606,3,0,30,7.8958,0,1,1,0
607,1,0,27,30.5,0,1,1,1
608,2,1,22,41.5792,1,3,0,1
609,1,1,40,153.4625,0,2,1,1
610,3,1,39,31.275,0,3,0,0
611,3,0,25,7.05,0,1,1,0
612,3,1,21,15.5,2,2,0,1
613,3,0,25,7.75,2,1,1,0
614,3,0,35,8.05,0,1,1,0
615,2,1,24,65.0,0,2,0,1
616,3,0,34,14.4,0,1,0,0
617,3,1,26,16.1,0,3,0,0
618,2,1,4,39.0,0,2,0,1
619,2,0,26,10.5,0,1,1,0
620,3,0,27,14.4542,1,1,0,0
621,1,0,42,52.5542,0,1,0,1
622,3,0,20,15.7417,1,1,0,1
623,3,0,21,7.8542,0,1,1,0
624,3,0,21,16.1,0,1,1,0
625,1,0,61,32.3208,0,1,1,0
626,2,0,57,12.35,2,5,1,0
627,1,1,21,77.9583,0,2,1,1
628,3,0,26,7.8958,0,1,1,0
629,3,0,25,7.7333,2,1,1,0
630,1,0,80,30.0,0,1,1,1
631,3,0,51,7.0542,0,1,1,0
632,1,0,32,30.5,1,5,1,1
633,1,0,40,0.0,0,1,1,0
634,3,1,9,27.9,0,2,0,0
635,2,1,28,13.0,0,2,1,1
636,3,0,32,7.925,0,1,1,0
637,2,0,31,26.25,0,1,0,0
638,3,1,41,39.6875,0,3,0,0
639,3,0,25,16.1,0,1,0,0
640,3,0,20,7.8542,0,1,1,0
641,1,1,24,69.3,1,2,1,1
642,3,1,2,27.9,0,2,0,0
643,3,0,25,56.4958,0,1,1,1
644,3,1,0,19.2583,1,2,0,1
645,1,0,48,76.7292,1,1,0,1
646,3,0,19,7.8958,0,1,1,0
647,1,0,56,35.5,1,5,1,1
648,3,0,25,7.55,0,1,1,0
649,3,1,23,7.55,0,2,1,1
650,3,0,25,7.8958,0,1,1,0
651,2,1,18,23.0,0,2,0,1
652,3,0,21,8.4333,0,1,1,0
653,3,1,21,7.8292,2,2,1,1
654,3,1,18,6.75,2,2,1,0
655,2,0,24,73.5,0,1,0,0
656,3,0,25,7.8958,0,1,1,0
657,3,1,32,15.5,2,3,0,0
658,2,0,23,13.0,0,1,1,0
659,1,0,58,113.275,1,1,0,0
660,1,0,50,133.65,0,5,0,1
661,3,0,40,7.225,1,1,1,0
662,1,0,47,25.5875,0,1,1,0
663,3,0,36,7.4958,0,1,1,0
664,3,0,20,7.925,0,1,0,1
665,2,0,32,73.5,0,1,0,0
666,2,0,25,13.0,0,1,1,0
667,3,0,25,7.775,0,1,1,0
668,3,0,43,8.05,0,1,1,0
669,1,1,35,52.0,0,3,0,1
670,2,1,40,39.0,0,3,0,1
671,1,0,31,52.0,0,1,0,0
672,2,0,70,10.5,0,1,1,0
673,2,0,31,13.0,0,1,1,1
674,2,0,30,0.0,0,1,1,0
675,3,0,18,7.775,0,1,1,0
676,3,0,24,8.05,0,1,1,0
677,3,1,18,9.8417,0,2,1,1
678,3,1,43,46.9,0,3,0,0
679,1,0,36,512.3292,1,1,0,1
680,3,1,21,8.1375,2,2,1,0
681,1,0,27,76.7292,1,1,1,1
682,3,0,20,9.225,0,1,1,0
683,3,0,14,46.9,0,1,0,0
684,2,0,60,39.0,0,1,0,0
